Major Field of Study,Median Base Pay (All Jobs in First 5 Years)
Criminal Justice,40000
Kinesiology,40000
Exercise Science,40640
Healthcare Administration,41000
Social Work,41000
Education,41203
Liberal Arts,41250
Music,41290
Psychology,41500
Biology,42000
Anthropology,42116
Sociology,42200
Health Sciences,42500
Chemistry,43040
Spanish,43040
Hospitality Management,43306
Public Relations,43500
Communications,43576
Journalism,43576
Sports Management,43576
English,43688
Environmental Science,43925
Human Resources,45000
Graphic Design,45000
Advertising,45000
